RepName,length,RPKM (0h),t1/2 (h)
NM_016101,2184,33.76,2.63
NM_153813,3241,7.68,2.63
NM_022770,2176,24.43,2.63
NM_014732,7361,1.42,2.63
NM_017666,4716,8.1,2.63
NM_001167,8413,2.83,2.63
NM_020310,4865,7.02,2.63
NM_017731,3674,3.91,2.63
NM_145301,1528,6.06,2.63
NM_013260,2602,19.69,2.63
NM_002519,5895,3.35,2.63
NM_024514,1633,1.88,2.63
NM_004626,1927,3.7,2.63
NM_021926,1586,37.66,2.63
NM_015065,6655,1.59,2.63
NM_030628,3300,36.03,2.63
NM_022918,3609,6.41,2.63
NM_152991,2413,12.55,2.63
NM_024684,557,7.79,2.63
NM_002555,1563,5.55,2.63
NM_138292,13147,1.78,2.63
NM_001031733,4655,3.81,2.63
NM_005902,6256,10.86,2.63
NM_152542,2103,7.2,2.63
NM_015436,4336,5.56,2.63
NM_133636,3596,1.34,2.63
NM_018317,1924,2.15,2.63
NM_032117,941,16.09,2.63
NM_000297,5073,2.52,2.63
NM_015082,5382,17.98,2.67
NM_203406,4300,1.23,2.67
NM_001040440,2312,3.71,2.67
NM_018343,1832,21.06,2.67
NM_019087,2501,12.96,2.67
NM_175062,2216,2.04,2.67
NM_007286,3524,22.4,2.67
NM_031482,1818,5.94,2.67
NM_000465,2530,13.81,2.67
NM_015727,1766,20.22,2.67
NM_018062,1750,19.52,2.67
NM_152515,3220,6.02,2.67
NM_022453,1566,17.13,2.67
NM_199280,2766,1.04,2.67
NM_014572,4098,11.84,2.67
NM_012345,3463,2.81,2.67
NM_003749,7014,8.39,2.67
NM_153456,7817,8.42,2.67
NM_145019,2104,13.8,2.67
NM_015567,4461,12.56,2.67
NM_015678,10812,1.78,2.67
NM_024886,1469,2.29,2.67
NM_018027,6804,1.57,2.67
NM_182755,3151,1.92,2.67
NM_004241,8415,5.33,2.67
NM_004329,3631,11.21,2.67
NM_030751,3952,14.77,2.67
NM_022126,1613,3.82,2.67
NM_144628,4456,7.29,2.67
NM_080622,1791,2.09,2.67
NM_006803,3472,6.83,2.67
NM_020130,1488,11.86,2.67
NM_174922,1969,3.13,2.67
NM_178422,3058,7.7,2.67
NM_014644,8373,5.36,2.67
NM_005158,3849,17.72,2.67
NM_014288,892,13.08,2.67
NM_001514,1304,25.01,2.67
NM_003443,2643,13.07,2.67
NM_030761,1595,1.32,2.67
NM_005595,2684,64.98,2.67
NM_173508,2893,26.15,2.67
NM_172210,2749,4.24,2.67
NM_032435,4667,17.18,2.67
NM_032270,2575,3.48,2.67
NM_138330,2209,2.53,2.67
NM_006969,4675,2.29,2.67
NM_002517,2066,1.39,2.67
NM_003259,3000,8.55,2.67
NM_000455,3286,10.33,2.67
NM_001039796,1966,4.22,2.67
NM_014772,5737,19.19,2.67
NM_020706,3882,8.25,2.67
NM_144991,3980,1.57,2.67
NM_017447,1521,3.86,2.67
NM_058190,964,34.93,2.67
NM_001947,1239,47.9,2.67
NM_007024,2178,16.3,2.67
NM_199420,8790,5.06,2.67
NM_003242,4714,9.68,2.67
NM_182523,640,13.42,2.67
NM_133462,4758,2.61,2.67
NM_018155,2001,25.51,2.67
NM_002182,4726,2.08,2.67
NM_006515,2063,5.7,2.67
NM_017644,7331,1.22,2.67
NM_018325,3246,1.6,2.67
NM_033087,2834,9.19,2.67
NM_000197,1134,3.9,2.67
NM_001004354,1785,7.67,2.67
NM_194330,5268,4.23,2.67
NM_001035254,3844,4.46,2.67
NM_004560,4091,36.37,2.67
NM_005502,10412,3.33,2.67
NM_012204,3210,66.27,2.67
NM_002595,4041,9.07,2.67
NM_024095,2629,14.72,2.67
NM_032130,2932,1.54,2.67
NM_003717,591,3.09,2.67
NM_022895,1920,17.54,2.67
NM_020762,4426,11.12,2.67
NM_018413,1687,24.65,2.67
NM_032358,2275,28.38,2.67
NM_018157,4989,6.55,2.67
NM_005171,1568,52.87,2.67
NM_030573,1271,23.61,2.67
NM_005138,931,34.61,2.67
NM_152246,4914,4.51,2.67
NM_152253,4914,4.51,2.67
NM_001004426,3239,1.19,2.67
NM_153615,2897,4.86,2.67
NM_016277,3037,5.05,2.67
NM_181356,2500,14.43,2.67
NM_006661,4576,19.21,2.67
NM_021065,460,265.63,2.67
NM_001002255,702,1.09,2.67
NM_012115,6782,5.57,2.67
NM_004333,2477,12.11,2.67
NM_018951,2648,14.61,2.67
NM_198990,4841,3.16,2.67
NM_148899,2609,9.13,2.67
NM_030631,2024,6.48,2.67
NM_001032,735,41.36,2.67
NM_031464,3035,2.31,2.67
NM_017926,2478,20.75,2.67
NM_016472,2110,2.23,2.67
NM_181598,2271,1.27,2.67
NM_133509,2513,9.37,2.67
NM_006084,1699,9.77,2.67
NM_001037125,1401,1.3,2.67
NM_152308,1462,1.45,2.67
NM_001374,1365,3.1,2.67
NM_152287,3548,13.62,2.67
NM_001040284,7589,4.27,2.67
NM_005250,3207,4.33,2.67
NM_004085,1168,10.07,2.67
NM_018486,1743,23.58,2.67
NM_003173,2745,28.26,2.67
NM_018143,2326,37.26,2.67
NM_000723,3687,9.08,2.67
NM_032837,2697,20.14,2.67
NM_007146,4652,9.95,2.67
NM_032294,3583,37.14,2.67
NM_001033561,4475,17.96,2.67
NM_021213,1932,6.94,2.67
NM_000676,1885,20.12,2.67
NM_153006,2086,2.67,2.67
NM_001584,2272,5.9,2.67
NM_014067,1225,87.29,2.67
NM_024725,2726,2.65,2.67
NM_014205,1321,11.9,2.67
NM_015324,1699,23.8,2.67
NM_033388,2160,5.26,2.67
NM_207354,2219,18.44,2.67
NM_001040615,2577,5.69,2.67
NM_032499,2616,14.68,2.67
NM_021005,3049,25.54,2.67
NM_152292,3711,1.71,2.67
NM_178835,4156,6.29,2.67
NM_198721,2681,78.84,2.67
NM_014883,5858,18.6,2.67
NM_001029998,2706,6.7,2.67
NM_018717,7086,11.65,2.67
NM_000909,2775,3.61,2.67
NM_152408,1698,5.9,2.7
NM_052870,1887,16.16,2.7
NM_006846,3610,1.17,2.7
NM_016552,3252,10.08,2.7
NM_001039693,5148,2.77,2.7
NM_022374,2279,23.33,2.7
NM_004882,1809,2.5,2.7
NM_020935,8015,4,2.7
NM_183240,579,6.16,2.7
NM_015147,2195,20.71,2.7
NM_152524,4214,3.91,2.7
NM_144978,2196,12.56,2.7
NM_007249,10923,3.21,2.7
NM_004951,1746,2.7,2.7
NM_000282,2518,10.92,2.7
NM_175605,3171,1.36,2.7
NM_024808,2803,18.59,2.7
NM_000124,4714,7.55,2.7
NM_015892,4713,3.72,2.7
NM_014904,6059,1.05,2.7
NM_014661,5740,20.29,2.7
NM_152230,1829,6.8,2.7
NM_018702,3655,96.38,2.7
NM_031232,2058,36.67,2.7
NM_012408,4652,28.92,2.7
NM_018419,1718,1.74,2.7
NM_020536,3884,2.58,2.7
NM_024555,1799,10.83,2.7
NM_006281,2826,6.82,2.7
NM_017884,1577,30.47,2.7
NM_024831,3798,17.73,2.7
NM_183008,1771,9.09,2.7
NM_001025247,4139,22.89,2.7
NM_181873,2324,3.52,2.7
NM_001039790,1660,2.78,2.7
NM_003567,3184,27.52,2.7
NM_032132,1895,2.13,2.7
NM_014857,2940,13.09,2.7
NM_022778,3961,37.28,2.7
NM_181359,4176,7.04,2.7
NM_001013693,4012,1.34,2.7
NM_006769,2126,22.83,2.7
NM_153340,2318,27.1,2.7
NM_017542,3852,46.9,2.7
NM_004258,3340,1.52,2.7
NM_032756,1803,15.79,2.7
NM_178526,3162,3.47,2.7
NM_003811,1645,1.69,2.7
NM_003407,1746,4.47,2.7
NM_080732,3928,26.73,2.7
NM_001042631,1131,4.42,2.7
NM_032347,1439,3.75,2.7
NM_005786,4982,3.29,2.7
NM_022115,6654,13.04,2.7
NM_001754,7288,4.75,2.7
NM_178817,1023,4.14,2.7
NM_181489,9105,5.43,2.7
NM_032638,3383,42.45,2.7
NM_012191,1218,14.41,2.7
NM_015150,3033,7.57,2.7
NM_002338,1640,32.71,2.7
NM_007275,1691,12.72,2.7
NM_004113,2861,3.23,2.7
NM_032682,6222,24.09,2.7
NM_015595,3857,3.8,2.7
NM_016483,2290,1,2.7
NM_024638,4008,23.69,2.7
NM_139209,1746,4.69,2.7
NM_016089,2382,8.02,2.7
NM_024617,5648,5.15,2.7
NM_173690,1968,11.52,2.7
NM_199160,3342,3,2.7
NM_144488,4643,4.42,2.7
NM_152422,4515,7.78,2.7
NM_005226,4221,11.04,2.7
NM_015061,4674,8.3,2.7
NM_003358,1637,14.14,2.7
NM_018351,4996,1.69,2.7
NM_001037806,1916,4.07,2.7
NM_138341,1716,2.8,2.7
NM_000921,4124,239.94,2.7
NM_020375,8237,2.12,2.7
NM_182552,3193,17.01,2.7
NM_017651,5538,9.09,2.7
NM_173082,7347,5.39,2.7
NM_003220,3808,11.1,2.7
NM_152737,3322,13.24,2.7
NM_024493,2242,2.4,2.7
NM_001634,3421,42.99,2.7
NM_018013,4238,3.25,2.7
NM_001013836,2754,21.65,2.7
NM_020319,2500,7.44,2.7
NM_018051,3785,2.52,2.7
NM_003505,4350,1.75,2.7
NM_016447,2201,18.19,2.7
NM_014478,2820,23.68,2.7
NM_020937,7143,3.2,2.7
NM_015091,6257,2.65,2.7
NM_130469,1724,7.72,2.7
NM_152342,2236,56.54,2.7
NM_012248,2291,26.03,2.7
NM_024860,1999,13.75,2.7
NM_014048,8680,7.18,2.7
NM_001039768,1394,4.97,2.7
NM_004853,979,15.96,2.7
NM_032043,4563,5.34,2.7
NM_015654,1943,9.73,2.7
NM_016077,2123,11.22,2.7
NM_152914,928,2.69,2.7
NM_006107,3477,21.34,2.7
NM_080677,735,34.92,2.7
NM_014238,4552,34.79,2.7
NM_134265,2849,14.09,2.7
NM_024116,1282,28.53,2.7
NM_032427,5428,2.93,2.7
NM_012202,912,1.37,2.7
NM_014344,2367,11.21,2.7
NM_145018,3545,10.4,2.7
NM_006591,3430,16.17,2.7
NM_025049,2659,11.43,2.7
NM_020962,6485,1.04,2.7
NM_001813,8630,2.96,2.7
NM_025212,761,3.92,2.7
NM_006874,3218,12.53,2.7
NM_012464,6654,13.17,2.7
NM_024605,3073,13.88,2.7
NM_001564,1135,4.66,2.7
NM_018366,1546,3.61,2.7
NM_199320,5771,42.14,2.7
NM_152756,9535,10.61,2.74
NM_001017398,4456,2.27,2.74
NM_033228,3914,2.66,2.74
NM_198255,4018,3.12,2.74
NM_052860,3104,11.93,2.74
NM_016218,4074,3.33,2.74
NM_033120,1798,4.34,2.74
NM_014035,2038,9.84,2.74
NM_013450,8145,2.92,2.74
NM_001017371,3980,15.18,2.74
NM_007063,3967,6.69,2.74
NM_015910,3310,5.04,2.74
NM_016316,4751,9.89,2.74
NM_003468,6584,9.39,2.74
NM_022055,1449,13.11,2.74
NM_012326,1880,3.43,2.74
NM_015650,2568,5.22,2.74
NM_012455,5039,2.96,2.74
NM_052905,5575,11.66,2.74
NM_000534,3239,3.75,2.74
NM_016133,2592,1.67,2.74
NM_005270,6549,9.38,2.74
NM_001040445,6833,6.17,2.74
NM_001039753,3023,1.84,2.74
NM_134442,3006,18.58,2.74
NM_001037131,4530,26.63,2.74
NM_014521,5193,18.06,2.74
NM_001039938,7465,6.11,2.74
NM_005977,3598,9.11,2.74
NM_017993,2624,9.11,2.74
NM_001004127,2585,4.7,2.74
NM_000820,2461,14.03,2.74
NM_018109,2571,17.56,2.74
NM_020397,2242,17.6,2.74
NM_173540,2069,9.98,2.74
NM_012330,8550,6.89,2.74
NM_022105,8562,45.16,2.74
NM_012384,4559,19.32,2.74
NM_022080,3798,2.64,2.74
NM_181443,4857,59.85,2.74
NM_198935,4566,15.76,2.74
NM_015511,2684,57.17,2.74
NM_014729,4131,13.57,2.74
NM_015942,1424,15.38,2.74
NM_001077204,4487,8.73,2.74
NM_014665,5323,17.22,2.74
NM_024596,2518,20.58,2.74
NM_005309,1924,4.31,2.74
NM_022078,2123,18.09,2.74
NM_021080,2580,29.58,2.74
NM_015534,4347,21.46,2.74
NM_024848,1641,7.23,2.74
NM_015215,8457,6.25,2.74
NM_152373,2102,2.01,2.74
NM_032705,1071,1.34,2.74
NM_014655,3486,20.48,2.74
NM_033055,2664,42.09,2.74
NM_016258,2730,34.75,2.74
NM_019032,4209,1.3,2.74
NM_173795,3015,5.28,2.74
NM_006483,2540,7.55,2.74
NM_006494,2667,120.58,2.74
NM_001040031,1263,2.28,2.74
NM_001037,1521,11.61,2.74
NM_030818,1679,11.26,2.74
NM_000633,6492,2.7,2.74
NM_001003809,3347,3.89,2.74
NM_025135,4942,9.8,2.74
NM_058187,1977,21.72,2.74
NM_013396,4968,8.14,2.74
NM_020163,4700,3.01,2.74
NM_016216,2667,13.74,2.74
NM_025112,4888,11.84,2.74
NM_015028,4083,6.16,2.74
NM_005414,3111,17.62,2.74
NM_025246,1958,11.13,2.74
NM_198158,4788,17.81,2.74
NM_005107,1460,13.48,2.74
NM_000861,3870,1.69,2.74
NM_003995,3447,2.65,2.74
NM_153186,5263,5.53,2.74
NM_018984,4083,18.2,2.74
NM_183238,6239,1.65,2.74
NM_153634,3476,15.18,2.74
NM_015336,4771,5.5,2.74
NM_001987,5992,8.89,2.74
NM_013254,2982,12.16,2.74
NM_033647,3368,2.77,2.74
NM_032019,2702,5.82,2.74
NM_022719,1698,16.02,2.74
NM_002073,3225,4.42,2.74
NM_053006,1363,3.25,2.74
NM_003181,2518,37.25,2.74
NM_019041,2550,2.11,2.74
NM_033502,4395,22.75,2.74
NM_003800,4460,10.77,2.74
NM_002120,1322,1.08,2.74
NM_014034,2525,5.08,2.74
NM_006567,1702,33.85,2.74
NM_014892,5018,22.27,2.74
NM_003804,3864,11.04,2.74
NM_003520,449,107.68,2.74
NM_080660,1802,25.11,2.74
NM_033017,3401,3.43,2.74
NM_012230,1564,3.14,2.74
NM_000474,1669,2.31,2.74
NM_020429,5737,30.73,2.74
NM_006693,1717,67.39,2.74
NM_003439,5494,12.59,2.74
NM_005011,3540,18.04,2.74
NM_003917,3305,18.16,2.74
NM_018167,8448,14.93,2.74
NM_014574,3947,12.37,2.74
NM_017769,5534,4.81,2.74
NM_207377,622,1.54,2.74
NM_015156,1449,61.94,2.74
NM_000229,1354,3.55,2.74
NM_005792,1099,20.54,2.74
NM_201412,2082,27.71,2.74
NM_002386,2400,4.94,2.74
NM_021168,2632,16.53,2.74
NM_012080,2113,23.43,2.74
NM_080701,1255,1.76,2.74
NM_052855,2060,42.16,2.74
NM_182620,2710,5.16,2.74
NM_170685,225,2.13,2.74
NM_012418,1720,1.12,2.74
NM_004278,1163,18.25,2.74
NM_014964,4814,19.38,2.74
NM_003647,2562,5.53,2.74
NM_012296,6053,2.42,2.74
NM_019009,3615,12.65,2.74
NM_006458,3059,6.84,2.74
NM_005926,2063,17.54,2.74
NM_001040659,3808,8.94,2.74
NM_017661,4484,3.22,2.74
NM_031452,1220,6.56,2.74
NM_021823,2268,8.89,2.74
NM_003020,1152,14.99,2.74
NM_014952,4529,22.97,2.74
NM_000901,5749,1.86,2.74
NM_013261,6317,1.95,2.74
NM_001017979,1648,25,2.74
NM_138364,2842,7.74,2.74
NM_018352,1748,12.2,2.74
NM_014264,3331,15.09,2.74
NM_016358,2212,1.04,2.78
NM_022145,1781,5.9,2.78
NM_005649,2555,1.58,2.78
NM_003236,4119,9.41,2.78
NM_003151,2761,7.58,2.78
NM_024770,2247,9.23,2.78
NM_014880,3740,1.05,2.78
NM_183360,2496,8.5,2.78
NM_212481,2223,12.06,2.78
NM_002618,1752,21.09,2.78
NM_016315,3464,8.08,2.78
NM_178514,6279,2.41,2.78
NM_018210,2659,46.89,2.78
NM_003899,5304,22.8,2.78
NM_014059,895,5.06,2.78
NM_018287,4173,8.71,2.78
NM_019619,4071,22.09,2.78
NM_015448,858,7.86,2.78
NM_032844,3084,13.98,2.78
NM_004273,6961,21.43,2.78
NM_017714,2368,8.64,2.78
NM_015338,7047,28.96,2.78
NM_206909,8436,9.86,2.78
NM_032026,1039,14.58,2.78
NM_019037,948,28.8,2.78
NM_152564,14111,8.91,2.78
NM_020729,2312,2.75,2.78
NM_002228,3338,6.96,2.78
NM_030980,2051,47.85,2.78
NM_001042405,7204,7.07,2.78
NM_001038707,3193,55.64,2.78
NM_017850,2376,26.72,2.78
NM_022743,1477,62.92,2.78
NM_021948,3488,4.26,2.78
NM_014638,4837,1.59,2.78
NM_201544,2996,5.15,2.78
NM_178221,1822,6.45,2.78
NM_013319,1520,20.06,2.78
NM_003666,2344,4.36,2.78
NM_014283,5919,4.74,2.78
NM_080605,2774,33.64,2.78
NM_199249,1692,74.38,2.78
NM_015649,2630,14.45,2.78
NM_032370,1192,2.58,2.78
NM_032836,2651,14.3,2.78
NM_024316,906,6.28,2.78
NM_001025778,2129,13.95,2.78
NM_176880,1316,17.23,2.78
NM_152658,1826,3.8,2.78
NM_018687,1240,1.32,2.78
NM_003451,1839,1.51,2.78
NM_182515,2698,6.18,2.78
NM_016626,3493,6.96,2.78
NM_015210,5392,35.55,2.78
NM_031446,1061,5.63,2.78
NM_206866,5770,5.81,2.78
NM_170662,3976,5.77,2.78
NM_144714,1617,7.09,2.78
NM_138399,2358,12.11,2.78
NM_001967,1905,89.98,2.78
NM_182896,3451,4.13,2.78
NM_172028,2020,2.91,2.78
NM_005108,3694,7.88,2.78
NM_014575,2112,13.39,2.78
NM_213654,3832,9.79,2.78
NM_006395,2396,19.01,2.78
NM_013286,6620,30.38,2.78
NM_012166,4564,4.73,2.78
NM_006753,2349,50.49,2.78
NM_139246,4445,9.66,2.78
NM_000380,1439,6.5,2.78
NM_152286,4581,1.03,2.78
NM_001001938,4829,1.11,2.78
NM_021138,2298,64.05,2.78
NM_007171,3150,5.54,2.78
NM_032226,2701,25.36,2.78
NM_001018037,11262,2.77,2.78
NM_006166,3482,3.6,2.78
NM_001032287,2202,8.85,2.78
NM_052885,7003,9.64,2.78
NM_002973,4702,13.58,2.78
NM_015509,2563,12.53,2.78
NM_032889,1761,47.89,2.78
NM_017435,3381,1.62,2.78
NM_033257,1182,5.95,2.78
NM_052880,2443,1.34,2.78
NM_014433,1286,11.25,2.78
NM_173510,3976,11.06,2.78
NM_022765,3697,3.18,2.78
NM_014454,2785,4.22,2.78
NM_033069,1547,3.61,2.78
NM_024641,4593,2.68,2.78
NM_015153,6948,8.29,2.78
NM_001013720,2064,58.35,2.78
NM_015555,5241,11.78,2.78
NM_005715,4196,16.14,2.78
NM_015093,4149,17.72,2.78
NM_032549,1540,82.53,2.78
NM_024033,1498,31.5,2.78
NM_004760,3949,13.9,2.78
NM_024814,1978,23.02,2.78
NM_022900,3883,1.58,2.78
NM_182633,2065,1.58,2.78
NM_003718,5246,18.08,2.78
NM_153033,2576,6.25,2.78
NM_001621,5827,7.13,2.78
NM_006977,1609,6.83,2.78
NM_001012991,1974,15.49,2.78
NM_005223,3108,2.6,2.78
NM_198511,3331,1.53,2.78
NM_004429,3346,7.35,2.78
NM_006729,9335,4.11,2.78
NM_018360,2045,58.75,2.78
NM_198082,2997,17.16,2.78
NM_199290,803,2.87,2.78
NM_001991,4640,4.72,2.78
NM_017456,3311,20.37,2.78
NM_004732,1608,1.01,2.78
NM_004502,1377,9.38,2.78
NM_006042,2546,1.47,2.78
NM_007026,1471,49.53,2.78
NM_001025579,2420,25.44,2.78
NM_145804,4149,33.94,2.78
NM_182612,4378,3.72,2.78
NM_031492,1814,12.71,2.78
NM_018195,3766,9.42,2.78
NM_013279,5745,2.14,2.78
NM_006133,5756,6,2.78
NM_181706,3000,6.46,2.78
NM_003186,1574,1.65,2.78
NM_080650,2093,2.67,2.78
NM_017684,13400,1.3,2.78
NM_144597,1405,3.56,2.78
NM_001013657,1940,6.16,2.78
NM_005664,3107,1.27,2.78
NM_001347,4653,2.38,2.78
NM_022569,3359,2.52,2.78
NM_015230,7360,1.94,2.78
NM_033437,7005,1.8,2.78
NM_025009,5687,2.56,2.78
NM_152544,1851,14.75,2.78
NM_001029955,4731,2.71,2.78
NM_145207,3359,21.31,2.78
NM_001040157,4503,5.27,2.78
NM_013367,2701,9.64,2.78
NM_001034845,3937,2.18,2.78
NM_031953,3237,8.82,2.78
NM_019050,3219,5.18,2.78
NM_002387,4181,16.68,2.82
NM_152405,2677,7.64,2.82
NM_018321,1303,96.44,2.82
NM_016605,4135,73.97,2.82
NM_138458,2244,4.12,2.82
NM_018079,3663,8.4,2.82
NM_001105,2952,3.66,2.82
NM_000104,5128,24.11,2.82
NM_016115,2214,27.55,2.82
NM_032494,1595,17.12,2.82
NM_005081,6234,16.1,2.82
NM_032601,850,11.8,2.82
NM_004027,3224,14.03,2.82
NM_022915,1728,26.19,2.82
NM_032506,3131,1.72,2.82
NM_181713,1909,3.89,2.82
NM_178009,4248,5.29,2.82
NM_013274,2702,7.64,2.82
NM_001039762,4408,1.26,2.82
NM_144660,1505,6.6,2.82
NM_144591,867,2.11,2.82
NM_032221,10389,10.81,2.82
NM_012340,3254,6.05,2.82
NM_173485,4149,10.44,2.82
NM_015254,8796,2,2.82
NM_005672,1064,2.53,2.82
NM_017780,10469,15.13,2.82
NM_178122,2539,1.44,2.82
NM_007170,3093,4.05,2.82
NM_032017,3863,16.79,2.82
NM_207170,1777,9.39,2.82
NM_194292,3908,6.76,2.82
NM_020435,2259,2,2.82
NM_007212,3551,8.53,2.82
NM_018103,3329,46.73,2.82
NM_207396,1859,2.43,2.82
NM_032323,2226,4.33,2.82
NM_016448,4221,20.5,2.82
NM_006631,3618,5.04,2.82
NM_032792,2393,22.98,2.82
NM_001011699,1468,28.26,2.82
NM_172231,2101,23.75,2.82
NM_000215,4025,1.79,2.82
NM_019104,929,7.37,2.82
NM_138422,1597,2.53,2.82
NM_001032372,2623,3.86,2.82
NM_033113,3864,2.62,2.82
NM_014330,2349,4.76,2.82
NM_152363,2893,17.54,2.82
NM_032510,3847,1.5,2.82
NM_152352,1941,20.98,2.82
NM_032160,9281,7.13,2.82
NM_198991,1757,44.33,2.82
NM_019022,4767,3.4,2.82
NM_016201,4984,13.32,2.82
NM_152282,3198,2.59,2.82
NM_145262,2006,3.7,2.82
NM_024616,2240,7.32,2.82
NM_139245,3056,3.72,2.82
NM_033412,1397,5.86,2.82
NM_017645,6334,6.13,2.82
NM_017738,5522,3.93,2.82
NM_001010895,2840,7.67,2.82
NM_032809,3597,15.69,2.82
NM_144973,6722,4.5,2.82
NM_001033050,1775,2.6,2.82
NM_033124,1798,3.38,2.82
NM_005761,5121,1.94,2.82
NM_016123,2817,1.77,2.82
NM_001003398,3589,11.21,2.82
NM_032775,2602,3.96,2.82
NM_005160,3628,1.88,2.82
NM_003544,357,174.36,2.82
NM_006734,9732,8.03,2.82
NM_020771,4614,2.38,2.82
NM_021244,1453,1.72,2.82
NM_016217,5621,3.39,2.82
NM_033450,5118,6.77,2.82
NM_001452,2187,27.97,2.82
NM_006670,2379,7.54,2.82
NM_004865,1340,14.97,2.82
NM_017774,2408,22.76,2.82
NM_017772,3477,8.88,2.82
NM_001002926,3892,11.43,2.82
NM_001306,1294,1.04,2.82
NM_015132,5099,7.72,2.82
NM_080744,2806,8.01,2.82
NM_005515,2176,2.16,2.82
NM_020979,2116,3.78,2.82
NM_024728,1608,3.29,2.82
NM_005542,3049,18.89,2.82
NM_020892,2782,3.57,2.82
NM_005466,1344,26.49,2.82
NM_001024631,2698,3.32,2.82
NM_006939,3999,4.8,2.82
NM_052873,850,11.35,2.82
NM_016337,1853,10.51,2.82
NM_152330,5050,8.8,2.82
NM_003789,1959,5.02,2.82
NM_018124,4952,26.42,2.82
NM_181296,784,6.02,2.82
NM_020473,3619,8.53,2.82
NM_001006681,1277,1.8,2.82
NM_016656,2217,7.22,2.82
NM_000495,6445,9.73,2.82
NM_016823,2415,35.37,2.82
NM_139177,2800,24.47,2.82
NM_001042698,2008,2.92,2.82
NM_006572,4744,19.34,2.82
NM_007168,5736,1.05,2.82
NM_018146,1815,21.21,2.82
NM_014726,4121,6.48,2.82
NM_024308,1608,4.62,2.82
NM_002615,1542,2.5,2.82
NM_016578,5138,18.8,2.82
NM_145015,2153,3.4,2.82
NM_138787,837,1.61,2.82
NM_001039661,2348,1.84,2.82
NM_004177,2974,9.41,2.82
NM_001011664,8163,7.11,2.82
NM_017793,2333,48.03,2.82
NM_152334,3300,2.51,2.82
NM_194272,2019,1.14,2.82
NM_024608,1828,3.79,2.82
NM_152778,1909,6.67,2.82
NM_024614,2368,1.05,2.82
NM_134425,3673,1.23,2.82
NM_005723,1433,1.74,2.82
NM_138698,3113,1.23,2.82
NM_199324,6980,6.15,2.82
NM_001003688,3056,10.64,2.82
NM_000203,2203,2.66,2.82
NM_007030,5019,13.11,2.86
NM_005242,2876,8.42,2.86
NM_024754,2103,8.16,2.86
NM_018557,16557,1.69,2.86
NM_014860,4261,7.47,2.86
NM_001042437,2397,1.84,2.86
NM_173652,1776,1.46,2.86
NM_003887,5711,3.07,2.86
NM_198555,759,3.8,2.86
NM_017567,1535,14.2,2.86
NM_144632,3285,1.34,2.86
NM_005791,2503,13.3,2.86
NM_133484,2089,6.55,2.86
NM_014934,7514,3.18,2.86
NM_004294,2174,4.57,2.86
NM_015296,7522,5.96,2.86
NM_001071775,2299,5.07,2.86
NM_030794,2501,9.53,2.86
NM_006393,8034,1.18,2.86
NM_032709,2046,3.2,2.86
NM_016195,6319,5.22,2.86
NM_017893,4400,1.05,2.86
NM_020799,2010,6.48,2.86
NM_017580,4942,6.63,2.86
NM_006954,6130,3.07,2.86
NM_015035,9991,7.18,2.86
NM_152417,2317,5.24,2.86
NM_013437,4083,4.68,2.86
NM_020863,5469,9.56,2.86
NM_172060,4326,14.12,2.86
NM_001008711,3154,6.91,2.86
NM_025069,2174,4.7,2.86
NM_012331,1502,6.35,2.86
NM_004874,2182,33.52,2.86
NM_145647,3503,6.25,2.86
NM_014947,5246,33.41,2.86
NM_031306,2905,4.61,2.86
NM_022157,1442,10.37,2.86
NM_001048166,5019,18.61,2.86
NM_023007,2550,29.93,2.86
NM_017865,1986,27.69,2.86
NM_033418,1445,2.13,2.86
NM_032315,1476,14.31,2.86
NM_001014796,3252,7.15,2.86
NM_198076,2632,7.88,2.86
NM_152900,3822,7.54,2.86
NM_012421,6229,11.83,2.86
NM_001029885,2193,9.76,2.86
NM_017825,1691,30.53,2.86
NM_021190,3054,11.06,2.86
NM_002697,2689,23.72,2.86
NM_000635,4015,7.37,2.86
NM_033103,3516,13.31,2.86
NM_005357,3806,2.76,2.86
NM_031448,4702,3.67,2.86
NM_024327,1563,5.18,2.86
NM_015925,2285,5.06,2.86
NM_006553,1669,8.14,2.86
NM_002639,2558,4.18,2.86
NM_153454,1179,4.66,2.86
NM_175611,3489,1.46,2.86
NM_033661,2155,31.97,2.86
NM_153273,4468,33.56,2.86
NM_001005158,3712,13.67,2.86
NM_022757,7932,1.93,2.86
NM_001025073,4857,9.21,2.86
NM_182916,2264,10.69,2.86
NM_017771,2050,6.73,2.86
NM_000844,4113,1.12,2.86
NM_003172,1037,13.21,2.86
NM_005388,2774,17.42,2.86
NM_001039803,2368,3.5,2.86
NM_020944,3639,16.04,2.86
NM_000264,6825,9.71,2.86
NM_001004125,1910,8.03,2.86
NM_000618,7260,1.78,2.86
NM_175895,1685,1.54,2.86
NM_003566,8019,2.63,2.86
NM_001012424,4268,5.56,2.86
NM_001093,9251,3.81,2.86
NM_019012,4253,11.61,2.86
NM_000545,3249,2.31,2.86
NM_206914,2856,1.92,2.86
NM_014515,3280,18.65,2.86
NM_207327,1625,2.96,2.86
NM_153255,2497,2.74,2.86
NM_015979,5227,6.14,2.86
NM_015948,2068,2.79,2.86
NM_201280,2282,4.1,2.86
NM_020861,3105,23.99,2.86
NM_021945,5431,4.58,2.86
NM_012259,2672,1.33,2.86
